chapter,data,package
01,"Arthritis","vcd"
01,"Donner","vcdExtra"
01,"iris","datasets"
01,"SpaceShuttle","vcd"
02,"Arthritis","vcd"
02,"DaytonSurvey","vcdExtra"
02,"Geissler","vcdExtra"
02,"HairEyeColor","datasets"
02,"HorseKicks","vcd"
02,"Saxony","vcd"
02,"UKSoccer","vcd"
02,"VisualAcuity","vcd"
03,"Arbuthnot","HistData"
03,"Bundesliga","vcd"
03,"Butterfly","vcd"
03,"CyclingDeaths","vcdExtra"
03,"Federalist","vcd"
03,"HorseKicks","vcd"
03,"PhdPubs","vcdExtra"
03,"Saxony","vcd"
03,"UKSoccer","vcd"
03,"WeldonDice","vcd"
03,"WomenQueue","vcd"
04,"Abortion","vcdExtra"
04,"Arthritis","vcd"
04,"CoalMiners","vcd"
04,"Lifeboats","vcd"
04,"Mammograms","vcdExtra"
04,"Mental","vcdExtra"
04,"SexualFun","vcd"
04,"UCBAdmissions","datasets"
04,"VisualAcuity","vcd"
05,"Accident","vcdExtra"
05,"AirCrash","vcdExtra"
05,"Arthritis","vcd"
05,"caith","MASS"
05,"criminal","logmult"
05,"Employment","vcd"
05,"HairEyeColor","datasets"
05,"iris","datasets"
05,"jansen.strawberry","agridat"
05,"Master","Lahman"
05,"PreSex","vcd"
05,"Punishment","vcd"
05,"UKSoccer","vcd"
05,"Vietnam","vcdExtra"
06,"Mental","vcdExtra"
06,"PreSex","vcd"
06,"RepVict","vcd"
06,"Suicide","vcd"
06,"TV","vcdExtra"
06,"UKSoccer","vcd"
07,"Arrests","effects"
07,"Arthritis","vcd"
07,"birthwt","MASS"
07,"Caesar","vcdExtra"
07,"Donner","vcdExtra"
07,"ICU","vcdExtra"
07,"SpaceShuttle","vcd"
08,"Arthritis","vcd"
08,"TV","vcdExtra"
08,"Womenlf","car"
09,"UCBAdmissions","datasets"
10,"CoalMiners","vcd"
10,"gss8590","logmult"
10,"Hauser79","vcdExtra"
10,"Mental","vcdExtra"
10,"Toxaemia","vcdExtra"
10,"VisualAcuity","vcd"
11,"case2201","Sleuth2"
11,"CodParasites","countreg"
11,"Cormorants","vcdExtra"
11,"CrabSatellites","countreg"
11,"NMES1988","AER"
11,"PhdPubs","vcdExtra"
